,precision,recall,f1-score,support
137.Cliff_Swallow,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
138.Tree_Swallow,1.0,0.8333333333333334,0.9090909090909091,30.0
139.Scarlet_Tanager,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
140.Summer_Tanager,0.9310344827586207,0.9,0.9152542372881356,30.0
141.Artic_Tern,0.5588235294117647,0.6551724137931034,0.6031746031746031,29.0
142.Black_Tern,0.8,0.8,0.8,30.0
143.Caspian_Tern,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
144.Common_Tern,0.3333333333333333,0.23333333333333334,0.27450980392156865,30.0
145.Elegant_Tern,0.6756756756756757,0.8333333333333334,0.746268656716418,30.0
146.Forsters_Tern,0.5161290322580645,0.5333333333333333,0.5245901639344263,30.0
147.Least_Tern,0.7941176470588235,0.9,0.84375,30.0
148.Green_tailed_Towhee,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
149.Brown_Thrasher,0.90625,1.0,0.9508196721311475,29.0
150.Sage_Thrasher,0.9,0.9,0.9,30.0
151.Black_capped_Vireo,0.9545454545454546,1.0,0.9767441860465116,21.0
152.Blue_headed_Vireo,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
153.Philadelphia_Vireo,0.696969696969697,0.7931034482758621,0.7419354838709677,29.0
154.Red_eyed_Vireo,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
155.Warbling_Vireo,0.7941176470588235,0.9,0.84375,30.0
156.White_eyed_Vireo,0.8529411764705882,0.9666666666666667,0.90625,30.0
157.Yellow_throated_Vireo,0.7586206896551724,0.7586206896551724,0.7586206896551724,29.0
158.Bay_breasted_Warbler,0.8333333333333334,1.0,0.9090909090909091,30.0
159.Black_and_white_Warbler,1.0,1.0,1.0,30.0
160.Black_throated_Blue_Warbler,0.9666666666666667,1.0,0.9830508474576272,29.0
161.Blue_winged_Warbler,0.875,0.9333333333333333,0.9032258064516129,30.0
162.Canada_Warbler,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
163.Cape_May_Warbler,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
164.Cerulean_Warbler,0.90625,0.9666666666666667,0.9354838709677419,30.0
165.Chestnut_sided_Warbler,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
166.Golden_winged_Warbler,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
167.Hooded_Warbler,0.9,0.9,0.9,30.0
168.Kentucky_Warbler,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
169.Magnolia_Warbler,0.90625,1.0,0.9508196721311475,29.0
170.Mourning_Warbler,0.8529411764705882,0.9666666666666667,0.90625,30.0
171.Myrtle_Warbler,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
172.Nashville_Warbler,0.7941176470588235,0.9,0.84375,30.0
173.Orange_crowned_Warbler,0.8076923076923077,0.7,0.75,30.0
174.Palm_Warbler,0.8235294117647058,0.9333333333333333,0.875,30.0
175.Pine_Warbler,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
176.Prairie_Warbler,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
177.Prothonotary_Warbler,0.8823529411764706,1.0,0.9375,30.0
178.Swainson_Warbler,0.9230769230769231,0.9230769230769231,0.9230769230769231,26.0
179.Tennessee_Warbler,0.7727272727272727,0.5862068965517241,0.6666666666666666,29.0
180.Wilson_Warbler,1.0,0.9333333333333333,0.9655172413793104,30.0
181.Worm_eating_Warbler,1.0,0.9655172413793104,0.9824561403508771,29.0
182.Yellow_Warbler,0.9375,1.0,0.967741935483871,30.0
183.Northern_Waterthrush,0.8709677419354839,0.9,0.8852459016393442,30.0
184.Louisiana_Waterthrush,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
185.Bohemian_Waxwing,1.0,0.8666666666666667,0.9285714285714286,30.0
186.Cedar_Waxwing,0.9090909090909091,1.0,0.9523809523809523,30.0
187.American_Three_toed_Woodpecker,0.9523809523809523,1.0,0.975609756097561,20.0
188.Pileated_Woodpecker,1.0,1.0,1.0,30.0
189.Red_bellied_Woodpecker,0.8529411764705882,0.9666666666666667,0.90625,30.0
190.Red_cockaded_Woodpecker,1.0,0.9310344827586207,0.9642857142857143,29.0
191.Red_headed_Woodpecker,0.9642857142857143,0.9,0.9310344827586207,30.0
192.Downy_Woodpecker,0.9375,1.0,0.967741935483871,30.0
193.Bewick_Wren,1.0,0.7666666666666667,0.8679245283018868,30.0
194.Cactus_Wren,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
195.Carolina_Wren,0.7142857142857143,1.0,0.8333333333333334,30.0
196.House_Wren,0.75,0.7,0.7241379310344828,30.0
197.Marsh_Wren,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
198.Rock_Wren,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
199.Winter_Wren,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
200.Common_Yellowthroat,1.0,1.0,1.0,30.0
accuracy,0.8588194684156023,0.8588194684156023,0.8588194684156023,0.8588194684156023
macro avg,0.8598610451934725,0.8602485496645326,0.8573093818394122,5794.0
weighted avg,0.8602719037984566,0.8588194684156023,0.8568401240025467,5794.0
